algorithm,regime,dof,library,optimizer,threshold,n_terms,MSE_train,MSE_val,MSE_test,R2_val,R2_test,ATE,ate_grade,equation,Algorithm,Regime,DOF,log10_MSE_test
Lagrange,bouncing,a_x,Lagrange+λ,STLSQ,0.005,16,5.768818692191357e-07,9.920301963399548e-06,0.0005143234128621,0.998920855893864,0.9413822133844756,0.0004624185113452,A,"T = +0.777305*xdot^2 +0.615781*ydot^2 +0.060393*thetadot^2 +0.010880*xdot thetadot -0.023045*ydot thetadot -0.089740*xdot thetadot sin(theta) -0.043387*ydot thetadot sin(theta) +0.092721*ydot thetadot cos(theta) +0.016840*thetadot^2 sin(theta)
V = -1.434347*y -0.163780*sin(theta) +0.033023*cos(theta) +0.123750*y sin(theta) -0.149240*y cos(theta) -0.009897*sin(theta)^2 +0.019324*y^2",Lagrangian SINDy,Bouncing,xddot,-3.2887637054176264
Lagrange,bouncing,a_y,Lagrange+λ,STLSQ,0.1,4,0.0099947594959404,0.0006132230276487,0.0433509497041237,0.997511138399588,0.8851924350447778,0.0083311592070075,A,"T = +0.717152*xdot^2 +0.735697*ydot^2 -0.085958*xdot thetadot sin(theta)
V = -1.454099*y",Lagrangian SINDy,Bouncing,yddot,-1.363001383845384
Lagrange,flight,a_theta,Lagrange+λ,LASSO,0.01,9,0.002770607737241,0.05946409340416,0.0404587025015378,0.9949890629155048,0.993426817590844,0.0904867440204902,C,"T = +0.680235*ydot^2 +0.007067*thetadot^2 +0.159422*xdot thetadot +0.075845*ydot thetadot cos(theta) -0.006444*thetadot^2 sin(theta)
V = -1.434397*y +0.244530*y sin(theta) +0.023914*sin(theta)^2 +0.002340*x",Lagrangian SINDy,Flight,thetaddot,-1.3929880490357505
Lagrange,flight,a_x,Lagrange+λ,LASSO,0.001,16,0.0026268655900352,0.0151070771073469,0.0222142091327972,0.986879114164704,0.9009113225273916,0.0231684605674905,B,"T = +0.718312*ydot^2 +0.012764*thetadot^2 +0.016545*xdot ydot +0.165375*xdot thetadot -0.000148*xdot thetadot sin(theta) +0.000867*xdot thetadot cos(theta) -0.001168*ydot thetadot sin(theta) +0.081760*ydot thetadot cos(theta) -0.009053*thetadot^2 sin(theta) -0.000269*thetadot^2 cos(theta)
V = -1.482399*y -0.091072*sin(theta) +0.172001*y sin(theta) -0.007324*y cos(theta) +0.070882*sin(theta)^2 +0.001144*x",Lagrangian SINDy,Flight,xddot,-1.6533691438399951
Lagrange,flight,a_y,Lagrange+λ,STLSQ,0.1,8,0.0372638297280443,0.0014610664836683,0.0026452739303997,0.9990112051118556,0.5845699748931291,0.014873560167388,B,"T = +0.096117*xdot^2 +0.728010*ydot^2 +0.147336*xdot thetadot -0.011475*xdot thetadot sin(theta) +0.087001*ydot thetadot cos(theta) -0.008190*thetadot^2 sin(theta)
V = -1.674291*y +0.493876*y^2",Lagrangian SINDy,Flight,yddot,-2.5775293480896506
Lagrange,rolling,a_theta,Lagrange+λ,STLSQ,0.001,16,2.7348032820267523e-05,0.0544769410635666,0.0171469306498326,0.991327122594124,0.9928999066835352,0.0048928326092199,A,"T = +0.229218*xdot^2 +0.752973*ydot^2 +0.017658*thetadot^2 +0.040380*xdot ydot +0.058117*xdot thetadot -0.002867*ydot thetadot -0.028051*xdot thetadot sin(theta) -0.002361*ydot thetadot sin(theta) +0.089344*ydot thetadot cos(theta) -0.003622*thetadot^2 sin(theta)
V = -0.852211*y -0.071026*sin(theta) +0.006429*y sin(theta) +0.003009*y cos(theta) +0.015573*sin(theta)^2 -1.800987*y^2",Lagrangian SINDy,Rolling,thetaddot,-1.7658136086322431
Lagrange,rolling,a_x,Lagrange,STLSQ,0.001,18,0.0052077200397106,0.0010724323673817,0.0024096219704828,0.9947304273437542,0.9692049034912108,0.0008942939812702,A,"T = +1.000000*xdot^2 +0.013264*thetadot^2 -0.039630*xdot ydot -0.107125*xdot thetadot +0.001131*ydot thetadot -0.117675*xdot thetadot sin(theta) +0.000657*xdot thetadot cos(theta) +0.002124*ydot thetadot sin(theta) +0.000137*ydot thetadot cos(theta) +0.006561*thetadot^2 sin(theta) +0.000224*thetadot^2 cos(theta)
V = -0.053865*y -0.043655*sin(theta) +0.001737*cos(theta) -0.001469*y sin(theta) -0.026702*sin(theta)^2 +0.150851*y^2 +0.005280*x",Lagrangian SINDy,Rolling,xddot,-2.618051085645419
Lagrange,rolling,a_y,Lagrange,STLSQ,0.3,2,0.0,2.5178224180185597e-36,5.703037112680139e-37,0.0,0.0,0.0,A,"T = +1.000000*xdot^2 -0.096652*xdot thetadot sin(theta)
V = 0",Lagrangian SINDy,Rolling,yddot,-16.0
SINDy,bouncing,a_theta,Full,STLSQ,0.005,54,2.386826309799843e-13,2.039427115267754e-07,0.0001598497392784,0.999994939561519,0.976285521231277,0.0019799152181709,A,-1.074 y + -2.187 xdot + -0.117 ydot + -1.988 thetadot + -4.442 xddot +  0.223 yddot +  2.357 x^2 +  0.308 x y +  7.055 x theta + -0.952 x xdot +  0.426 x thetadot +  5.682 x xddot +  0.118 x yddot +  0.803 y theta +  0.149 y xdot + -0.040 y thetadot + -0.171 y xddot + -0.291 y yddot +  5.050 theta^2 +  0.017 theta ydot +  9.918 theta xddot + -3.951 xdot^2 +  0.260 xdot ydot + -5.732 xdot thetadot + -0.437 xdot xddot +  0.105 xdot yddot +  0.015 ydot^2 +  0.253 ydot thetadot +  0.017 ydot xddot + -1.454 thetadot^2 + -0.130 thetadot xddot +  0.096 thetadot yddot + -0.003 xddot^2 + -0.288 xddot yddot +  0.125 yddot^2 + -0.379 sin(theta) + -0.268 cos(theta) +  0.519 sin(theta) x + -0.140 sin(theta) y +  0.453 sin(theta) theta +  0.757 sin(theta) xdot +  0.498 sin(theta) thetadot +  0.335 sin(theta) xddot + -0.192 sin(theta) yddot + -2.289 cos(theta) x +  0.138 cos(theta) y + -2.804 cos(theta) theta +  0.035 cos(theta) xdot + -0.118 cos(theta) ydot + -0.474 cos(theta) thetadot + -0.065 cos(theta) xddot + -0.704 cos(theta) yddot,SINDy,Bouncing,thetaddot,-3.7962880677441513
SINDy,bouncing,a_x,UC+λ,STLSQ,0.01,3,1.1822111672578374e-15,2.473585019958724e-16,7.644770670066333e-17,0.9999999999998106,0.99999999999965,0.0003548925081933,A, 0.133 sin(theta) thetaddot +  0.755 cos(theta) thetadot^2 +  0.227 lambda_F,SINDy,Bouncing,xddot,-16.0
SINDy,bouncing,a_y,UC+λ,LASSO,0.001,5,0.0014239873134202,1.7544008061481104e-07,4.722056152999167e-07,0.0,0.0,9.583753667290208e-05,A,+0.002857 sin(theta) -0.005115 thetadot^2 +0.265285 sin(theta) thetadot^2 -0.068506 cos(theta) thetaddot +0.950451 lambda_N,SINDy,Bouncing,yddot,-6.3258688527522775
SINDy,flight,a_theta,UC+λ,STLSQ,0.2,4,0.0012018752947675,4.093390367068044e-05,9.091794906119484e-06,0.9999971219525718,0.999999298391943,0.0995357365375398,C,-0.509 cos(theta) +  0.515 sin(theta) xddot + -0.649 cos(theta) yddot +  0.625 lambda_F,SINDy,Flight,thetaddot,-5.041350369707429
SINDy,flight,a_x,UC+λ,ElasticNet,0.005,8,0.0084946396737632,0.000184679919687,9.493463951888538e-05,0.9996226336986108,0.9997804123697788,0.015479594961232,B,+0.008491 cos(theta) -0.000413 yddot +0.015204 thetaddot +0.002305 sin(theta) thetadot^2 +0.053001 sin(theta) thetaddot +1.057634 cos(theta) thetadot^2 -0.007865 cos(theta) yddot +0.179004 lambda_F,SINDy,Flight,xddot,-4.022575294348154
SINDy,flight,a_y,UC+λ,LASSO,0.005,8,0.012889038326421,0.0024940385467782,0.0001890387776098,0.6856323203781965,0.408986058142631,0.0064146565575258,A,+0.039368 sin(theta) -0.027267 thetadot^2 -0.003392 xddot +0.960416 sin(theta) thetadot^2 -0.005433 sin(theta) xddot +0.015224 cos(theta) xddot -0.080307 cos(theta) thetaddot +0.557035 lambda_N,SINDy,Flight,yddot,-3.7234490996651237
SINDy,rolling,a_theta,Full+λ,STLSQ,0.001,58,2.853049419039851e-18,2.3912862512057942e-18,8.394969686577517e-19,1.0,1.0,0.0054266851755568,A,-76.539 x +  0.775 y + -93.573 theta +  110.504 xdot +  3.949 ydot +  190.468 thetadot +  42.412 xddot +  174.637 yddot + -31.634 x y +  112.827 x xdot + -330.728 x xddot +  8.309 x yddot + -1.047 y^2 + -15.190 y theta + -198.629 y xdot +  0.400 y ydot + -249.536 y thetadot +  95.645 y xddot + -58.131 y yddot +  143.776 theta xdot + -0.283 theta ydot +  23.520 theta thetadot + -439.531 theta xddot + -1.672 theta yddot + -51.641 xdot^2 +  0.732 xdot ydot + -4.997 xdot thetadot + -18.133 xdot xddot +  22.257 xdot yddot +  0.064 ydot^2 + -3.223 ydot thetadot +  0.840 ydot xddot + -0.566 ydot yddot +  50.702 thetadot^2 + -23.671 thetadot xddot + -42.375 thetadot yddot + -10.715 xddot yddot +  26.962 yddot^2 + -88.576 sin(theta) +  32.591 cos(theta) +  88.609 sin(theta) y +  63.877 sin(theta) xdot + -0.565 sin(theta) ydot +  66.145 sin(theta) thetadot +  0.128 sin(theta) xddot + -17.984 sin(theta) yddot +  7.254 cos(theta) x + -35.526 cos(theta) y +  9.496 cos(theta) theta + -5.304 cos(theta) xdot +  0.104 cos(theta) ydot + -5.532 cos(theta) thetadot + -0.011 cos(theta) xddot +  15.588 cos(theta) yddot + -0.067 lambda_N +  0.198 lambda_F,SINDy,Rolling,thetaddot,-16.0
SINDy,rolling,a_x,Full+λ,STLSQ,0.0001,64,2.724976181235356e-19,1.0004439706622585e-18,1.191196385722029e-19,1.0,1.0,0.0009768034005854,A,-328.349 x +  3.294 y +  85.975 theta +  144.322 xdot +  37.834 ydot +  624.573 thetadot +  2435.691 yddot + -42.067 thetaddot + -126.945 x^2 +  161.185 x y +  55.977 x theta + -619.761 x xdot +  0.334 x ydot + -1591.681 x thetadot +  14.587 x yddot +  248.672 x thetaddot + -3.368 y^2 + -315.033 y theta + -1007.602 y xdot +  12.803 y ydot + -1220.712 y thetadot + -13.903 y yddot + -47.534 y thetaddot +  242.434 theta^2 + -677.633 theta xdot +  9.717 theta ydot + -1610.514 theta thetadot +  363.704 theta yddot +  327.480 theta thetaddot + -775.671 xdot^2 +  14.737 xdot ydot +  13.434 xdot thetadot +  1311.128 xdot yddot + -64.195 xdot thetaddot +  0.023 ydot^2 + -41.874 ydot thetadot +  4.822 ydot yddot +  0.210 ydot thetaddot +  860.879 thetadot^2 + -1476.291 thetadot yddot + -64.198 thetadot thetaddot + -104.039 yddot^2 + -0.003 yddot thetaddot + -904.448 sin(theta) + -1488.850 cos(theta) +  879.493 sin(theta) x +  582.388 sin(theta) y +  1171.466 sin(theta) theta +  570.811 sin(theta) xdot + -4.968 sin(theta) ydot +  591.073 sin(theta) thetadot + -136.097 sin(theta) yddot +  0.018 sin(theta) thetaddot + -1378.657 cos(theta) x +  1972.391 cos(theta) y + -1804.873 cos(theta) theta + -237.743 cos(theta) xdot +  4.587 cos(theta) ydot + -247.980 cos(theta) thetadot +  214.235 cos(theta) yddot + -0.001 cos(theta) thetaddot +  0.008 lambda_N + -0.032 lambda_F,SINDy,Rolling,xddot,-16.0
SINDy,rolling,a_y,Full+λ,STLSQ,0.0001,64,2.4441726313768613e-22,2.205761746966334e-22,1.223808052998941e-22,0.0,0.0,8.779909796142041e-13,A, 28.121 x + -0.190 y +  40.008 theta + -24.352 xdot +  1.964 ydot + -102.483 thetadot +  34.698 xddot +  21.764 thetaddot +  16.624 x^2 +  51.831 x y + -5.561 x theta + -53.501 x xdot + -0.004 x ydot + -28.126 x thetadot + -14.595 x xddot + -49.262 x thetaddot +  0.029 y^2 +  48.065 y theta +  1.983 y xdot + -0.034 y ydot +  79.770 y thetadot +  1.784 y xddot +  21.772 y thetaddot + -29.683 theta^2 + -60.725 theta xdot + -0.114 theta ydot + -32.154 theta thetadot + -44.359 theta xddot + -89.612 theta thetaddot + -29.605 xdot^2 +  0.471 xdot ydot + -2.094 xdot thetadot + -40.748 xdot xddot + -35.308 xdot thetaddot +  0.011 ydot^2 + -1.452 ydot thetadot +  0.149 ydot xddot + -0.007 ydot thetaddot +  29.882 thetadot^2 + -33.794 thetadot xddot + -20.601 thetadot thetaddot + -25.521 xddot^2 + -10.107 xddot thetaddot +  0.934 thetaddot^2 +  17.626 sin(theta) + -46.687 cos(theta) +  5.349 sin(theta) x + -19.585 sin(theta) y +  7.124 sin(theta) theta +  27.281 sin(theta) xdot + -0.228 sin(theta) ydot +  28.250 sin(theta) thetadot +  8.561 sin(theta) xddot +  7.286 sin(theta) thetaddot +  126.717 cos(theta) x +  2.277 cos(theta) y +  165.892 cos(theta) theta +  6.643 cos(theta) xdot + -0.154 cos(theta) ydot +  6.929 cos(theta) thetadot +  30.110 cos(theta) xddot +  24.439 cos(theta) thetaddot + -0.001 lambda_N + -0.004 lambda_F,SINDy,Rolling,yddot,-16.0
